HIOS/ Standard Component ID,SBC File Name
94506DC0390001,KP DC Platinum 0-10-Dental-PedDental.pdf
94506DC0390002,KP DC Gold 0-20-Dental-PedDental.pdf
94506DC0390003,KP DC Gold 1000-20-Dental-PedDental.pdf
94506DC0390008,KP DC Catastrophic 6600-0-Dental-PedDental.pdf
94506DC0390005,KP DC Silver 2500-30-Dental-PedDental.pdf
94506DC0390004,KP DC Silver 1500-30-Dental-PedDental.pdf
94506DC0390006,KP DC Silver 1750-25-HSA-Dental-PedDental.pdf
94506DC0390010,KP DC Bronze 5000-30-HSA-Dental-PedDental.pdf
94506DC0390007,KP DC Bronze 4500-50-Dental-PedDental.pdf
94506DC0390009,KP DC Bronze 4500-50-HSA-Dental-PedDental.pdf
86052DC0400004,CFBC_DC_86052_BlueChoice Young Adult 6600.pdf
86052DC0410001,CFBC_DC_86052_BlueChoice HSA Bronze 4000_Base.pdf
86052DC0410002,CFBC_DC_86052_BlueChoice HSA Bronze 6000_Base.pdf
86052DC0420001,CFBC_DC_86052_BlueChoice Plus Bronze 5500_Base.pdf
86052DC0410003,CFBC_DC_86052_BlueChoice HSA Silver 1300_Base.pdf
86052DC0400001,CFBC_DC_86052_BlueChoice Silver 2000_Base.pdf
86052DC0420002,CFBC_DC_86052_BlueChoice Plus Silver 2500_Base.pdf
86052DC0400002,CFBC_DC_86052_BlueChoice Gold 0_Base CSR.pdf
86052DC0400003,CFBC_DC_86052_BlueChoice Gold 1000_Base CSR.pdf
86052DC0430001,CFBC_DC_86052_HealthyBlue Gold 1500_Base.pdf
86052DC0430002,CFBC_DC_86052_HealthyBlue Platinum 0_Base.pdf
78079DC0200001,GHMSI_DC_78079_BluePreferred HSA Bronze 3500_Base.pdf
78079DC0180001,GHMSI_DC_78079_BCBS Preferred 1500_Base.pdf
78079DC0160001,GHMSI_DC_78079_BCBS Preferred 500_Base.pdf
78079DC0210001,GHMSI_DC_78079_BluePreferred Platinum 0_Base.pdf
77422DC0060002,DC Aetna Bronze 20 Copay_ON.pdf
77422DC0060004,DC Aetna Bronze Deductible Only HSA Eligible_ON.pdf
77422DC0060005,DC Aetna Catastrophic 100ON.pdf
77422DC0060006,DC Aetna Gold 5 Copay_ON.pdf
77422DC0060008,DC Aetna Silver 10 Copay_ON.pdf
77422DC0060010,DC Aetna Silver 5 Copay 2750_ON.pdf
