e_case_id,hbx_id,irs_group_id
2111797,168413,1000000000000001
2117499,157198,1000000000000002
2117504,157200,1000000000000003
2117524,157206,1000000000000005
2117527,157212,1000000000000006
2117552,157961,1000000000000007
2112161,156123,1000000000000008
2117561,DC084,1000000000000009
2117567,167359,1000000000000010
2117598,157243,1000000000000011
2117607,157245,1000000000000012
2117614,157250,1000000000000014
2112167,156125,1000000000000013
2117631,11020364,1000000000000015
2117646,157194,1000000000000016
2117663,157197,1000000000000017
2112170,191085,1000000000000018
2117672,157186,1000000000000019
2117690,168174,1000000000000020
2117698,157209,1000000000000021
2117721,157476,1000000000000022
2117725,2169215,1000000000000023
2117767,157251,1000000000000024
2117768,157238,1000000000000025
2117771,157233,1000000000000026
2117788,167113,1000000000000027
2117805,165001,1000000000000028
2117831,157764,1000000000000031
2117846,157264,1000000000000032
2117884,2276265,1000000000000033
2117906,157273,1000000000000034
2117936,157305,1000000000000036
2117970,157326,1000000000000037
2117980,157294,1000000000000038
2118010,157313,1000000000000039
2118032,157324,1000000000000040
2118038,157316,1000000000000041
2118050,157336,1000000000000042
2118055,157333,1000000000000043
2118058,157334,1000000000000044
2118063,118182,1000000000000045
2111800,156095,1000000000000046
2118068,160380,1000000000000047
2118110,157225,1000000000000049
2118120,157775,1000000000000050
2118130,163026,1000000000000051
2118133,158157,1000000000000052
2112216,156147,1000000000000053
2118136,162408,1000000000000054
2118160,157280,1000000000000055
2118163,157285,1000000000000056
2118180,157287,1000000000000057
2118224,157303,1000000000000059
2118286,157327,1000000000000060
2118311,157394,1000000000000061
2118345,157353,1000000000000062
2118353,167380,1000000000000063
2118355,142336,1000000000000064
2118363,DC0101,1000000000000065
2118408,157421,1000000000000067
2118434,158190,1000000000000069
2118453,157382,1000000000000071
2118470,157388,1000000000000072
2118476,165257,1000000000000073
2112257,158784,1000000000000074
2118503,157397,1000000000000075
2118515,157403,1000000000000076
2118528,157230,1000000000000078
2112266,156160,1000000000000080
2118543,169054,1000000000000081
2118548,157414,1000000000000082
2118560,157415,1000000000000083
2118563,157416,1000000000000084
2118606,157412,1000000000000085
2118634,157433,1000000000000086
2112273,160938,1000000000000087
2118650,157436,1000000000000088
2118695,157385,1000000000000090
2112276,156166,1000000000000091
2118711,170226,1000000000000092
2118764,157231,1000000000000093
2118780,157405,1000000000000094
2118787,153695,1000000000000095
2112284,156171,1000000000000096
2118841,157494,1000000000000097
2118853,157509,1000000000000098
2118860,154098,1000000000000099
2112289,132922,1000000000000100
2118878,157455,1000000000000101
2118894,156563,1000000000000102
2118905,157463,1000000000000103
2118906,167125,1000000000000104
2118912,141147,1000000000000105
2118973,157498,1000000000000109
2119013,157517,1000000000000111
2119018,157492,1000000000000112
2119028,157556,1000000000000113
2112303,156893,1000000000000114
2119036,157524,1000000000000115
2119061,157599,1000000000000116
2112306,156734,1000000000000117
2119112,157573,1000000000000118
2119131,157597,1000000000000119
2112315,156177,1000000000000122
2119162,157652,1000000000000123
2119181,234766,1000000000000124
2119188,157475,1000000000000125
2119221,18774844,1000000000000126
2119234,157504,1000000000000127
2119262,157507,1000000000000128
2119275,157515,1000000000000129
2119280,157516,1000000000000130
2119326,157493,1000000000000131
2119331,157596,1000000000000132
2112330,156194,1000000000000133
2119365,157559,1000000000000135
2119374,157568,1000000000000136
2119399,163777,1000000000000137
2119411,157593,1000000000000138
2119430,157539,1000000000000139
2119458,162094,1000000000000140
2119470,157636,1000000000000141
2119504,157719,1000000000000143
2119516,157547,1000000000000144
2119527,157549,1000000000000145
2119556,157826,1000000000000146
2119561,157659,1000000000000147
2119566,157751,1000000000000148
2119606,157699,1000000000000149
2119621,157690,1000000000000150
2119628,157700,1000000000000151
2119631,157701,1000000000000152
2119643,157718,1000000000000153
2119650,18764380,1000000000000154
2119670,157727,1000000000000155
2119680,157543,1000000000000156
2119703,158187,1000000000000157
2119709,157682,1000000000000158
2119712,160483,1000000000000159
2112351,156195,1000000000000160
2119732,157545,1000000000000162
2119745,157667,1000000000000163
2119748,157653,1000000000000164
2119753,157655,1000000000000165
2119761,157657,1000000000000166
2119772,157665,1000000000000167
2112354,156216,1000000000000168
2119793,172700,1000000000000169
2119842,157704,1000000000000170
2119852,157723,1000000000000171
2119862,157724,1000000000000172
2119911,DC060,1000000000000173
2119934,DC05,1000000000000175
2119945,157734,1000000000000176
2119967,157736,1000000000000177
2119981,160762,1000000000000178
2119993,157710,1000000000000179
2120026,157762,1000000000000182
2120029,157765,1000000000000183
2112384,156219,1000000000000184
2120116,157779,1000000000000185
2120129,157809,1000000000000186
2120132,159115,1000000000000187
2120193,157774,1000000000000189
2120202,158200,1000000000000190
2120210,157763,1000000000000191
2120241,18764412,1000000000000193
2120281,157810,1000000000000195
2120291,157808,1000000000000196
2120311,157813,1000000000000198
2112417,156290,1000000000000199
2120352,157792,1000000000000200
2120379,157838,1000000000000201
2112424,168351,1000000000000202
2120382,167250,1000000000000203
2120387,158397,1000000000000204
2120423,157844,1000000000000205
2112444,156240,1000000000000206
2120438,176070,1000000000000207
2120441,168733,1000000000000208
2120444,157865,1000000000000209
2120493,158966,1000000000000210
2120569,157873,1000000000000212
2120570,131313,1000000000000213
2120626,131328,1000000000000214
2120671,157851,1000000000000215
2120675,157852,1000000000000216
2120693,18770836,1000000000000218
2120727,162707,1000000000000219
2120733,DC0126,1000000000000220
2120742,157874,1000000000000221
2120797,155838,1000000000000225
2112488,157726,1000000000000226
2120834,157888,1000000000000227
2120837,167297,1000000000000228
2120844,157239,1000000000000229
2120878,167783,1000000000000230
2112500,156264,1000000000000231
2120935,130260,1000000000000232
2120948,157486,1000000000000233
2120959,156565,1000000000000234
2120960,163562,1000000000000235
2120966,164001,1000000000000236
2120982,166231,1000000000000237
2120995,157920,1000000000000238
2120999,157919,1000000000000239
2121007,166579,1000000000000240
2121010,2847165,1000000000000241
2121024,157992,1000000000000242
2121061,145809,1000000000000243
2121075,157903,1000000000000244
2121122,168160,1000000000000247
2121167,157942,1000000000000248
2121172,157947,1000000000000249
2121191,133453,1000000000000250
2121197,158678,1000000000000251
2121208,157953,1000000000000252
2121218,143097,1000000000000253
2121250,157897,1000000000000254
2121269,158023,1000000000000255
2121276,157900,1000000000000256
2121293,157901,1000000000000257
2121318,157034,1000000000000258
2121329,163135,1000000000000259
2121330,130328,1000000000000260
2112547,156189,1000000000000261
2121341,165805,1000000000000262
2121362,157937,1000000000000264
2121384,157955,1000000000000265
2112548,125062,1000000000000266
2121392,235754,1000000000000267
2121408,157944,1000000000000268
2121422,130065,1000000000000269
2112555,156198,1000000000000270
2121455,157978,1000000000000271
2121466,2490450,1000000000000272
2112558,10001786,1000000000000273
2121505,155107,1000000000000274
2121509,133584,1000000000000275
2121525,166467,1000000000000277
2112563,18770716,1000000000000278
2121530,157985,1000000000000279
2121539,158007,1000000000000280
2121544,142710,1000000000000281
2121567,157960,1000000000000283
2111840,156113,1000000000000284
2121569,18772838,1000000000000285
2121581,157991,1000000000000286
2121588,148117,1000000000000287
2121591,153484,1000000000000288
2121603,157962,1000000000000289
2121606,157995,1000000000000290
2121616,18828648,1000000000000291
2121621,158042,1000000000000292
2121627,166239,1000000000000293
2121639,158275,1000000000000294
2121653,158022,1000000000000295
2121662,157958,1000000000000297
2121666,158005,1000000000000298
2121696,158008,1000000000000299
2121702,158020,1000000000000300
2121726,160386,1000000000000302
2121739,158892,1000000000000303
2121744,162030,1000000000000304
2121761,159024,1000000000000305
2112589,156211,1000000000000306
2121769,137357,1000000000000307
2121774,157959,1000000000000308
2121783,135226,1000000000000309
2121810,157255,1000000000000310
2121825,157963,1000000000000311
2121832,149491,1000000000000312
2121838,168538,1000000000000313
2121843,154849,1000000000000314
2121856,157999,1000000000000315
2121867,158000,1000000000000316
2121898,168284,1000000000000317
2121913,158013,1000000000000318
2121918,158018,1000000000000319
2121921,157970,1000000000000320
2121953,158027,1000000000000321
2121961,157971,1000000000000322
2121977,156928,1000000000000323
2122027,157972,1000000000000324
2122055,158069,1000000000000325
2122062,158036,1000000000000326
2122075,158061,1000000000000327
2122078,158062,1000000000000328
2122087,158045,1000000000000329
2122090,158067,1000000000000330
2122097,158079,1000000000000331
2122127,158076,1000000000000332
2122135,152317,1000000000000333
2122163,159929,1000000000000334
2112623,156204,1000000000000335
2122173,158086,1000000000000336
2122188,158096,1000000000000337
2122191,158128,1000000000000338
2122206,158109,1000000000000339
2122216,158117,1000000000000340
2122222,158126,1000000000000341
2122284,18764837,1000000000000344
2122294,18770634,1000000000000346
2122316,158063,1000000000000347
2112634,156208,1000000000000348
2122338,168256,1000000000000349
2122362,157458,1000000000000351
2122381,3128780,1000000000000352
2122385,155834,1000000000000353
2122415,158074,1000000000000354
2122426,118369,1000000000000356
2122433,142162,1000000000000357
2112650,156234,1000000000000358
2122463,158077,1000000000000359
2122482,130988,1000000000000360
2122538,136466,1000000000000362
2122554,158092,1000000000000363
2122576,158049,1000000000000364
2122598,158105,1000000000000365
2122608,174337,1000000000000366
2122629,131687,1000000000000367
2122649,158131,1000000000000368
2122657,158121,1000000000000369
2122677,158130,1000000000000371
2122718,149625,1000000000000372
2122727,158136,1000000000000373
2122744,158164,1000000000000374
2122758,158134,1000000000000376
2122767,158051,1000000000000377
2122782,18828093,1000000000000378
2122785,168424,1000000000000379
2122792,158158,1000000000000380
