"employer_legal_name","fein","dba","hbx_id","conversion(true/false)"
"AMERICAN ASSOCIATION ON INTELLECTUAL AND DEVELOPMENTAL DISABILITIES","060636098","AAIDD","1053217","true"
"Association of Professional Schools of International Affairs","222993616","","1050819","false"
"Bernard Yanowitz DDS, Steven Philips DDS and Richard Steinlen DMD, PC","521058725","YANOWITZ-PHILIPS-STEINLEN PC","1052760","true"
"Congress Heights Community Training & Development Corporation","521583431","","1053142","false"
"DO NOT USE turkish republic of northern cyprus washington office","261988999","turkish republic of northern cyprus washington office","1052268","false"
"Memorial Evangelic Lutheran Church [Luther Place Memorial Church]","520222329","","1053202","false"
"Memorial Evangelical Lutheran Church [Luther Place Memorial Church]","530222329","LUTHER PLACE CHURCH","1052337","true"
"NATIONAL ASSOCIATION OF STATES UNITED FOR AGING AND DISABILITIES","396095459","NATIONAL ASSOCIATION OF STATES","1051726","true"
"OLD DO NOT USE Industrial Minerals Association - North America","043670163","","1054565","false"
"OLD DO NOT USE Intelligent Transportation Society of America","742743729","","1054410","false"
"OLD DO NOT USE Japan Electronics and Information Technology Industries Association","132809895","","1054380","false"
"OLD DO NOT USE New Energy and Industrial Technology Development Organization","000000051","","1053155","false"
"OLD DO NOT USE Satellite Broadcasting and Communications Association","521221278","","1054407","false"
"OLD DO NOT USE The National Society of The Colonial Dames of America","520224364","","1054575","false"
"OLD NOT USE National Environmental Education and Training Foundation","521903263","OLD DO NOT USE National Environmental Education Foundation","1054417","false"
"Sexuality Information and Education Council of the United States","132508249","","1050297","false"
"The International Institute on Race, Equality and Human Rights","472348129","","1050210","false"
"US Pan Asian American Chamber of Commerce Educaation Foundation ","521641440","USPAACC","1052685","false"
